Datetime,Year,Month,Day,Mean Temp (C),Max Temp (C),Min Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm),season
01-Feb-12,2012,2,1,-0.3,3.1,-3.7,14.2,12.6,26.6,Winter
01-Feb-11,2011,2,1,-5.4,-0.9,-9.8,13.9,45,47,Winter
01-Feb-10,2010,2,1,-3.4,0,-6.7,0,27.4,24.8,Winter
01-Feb-09,2009,2,1,-3.7,0.9,-8.2,48,24.4,73.6,Winter
01-Feb-08,2008,2,1,-5.3,-1.2,-9.3,30.6,76.8,107.6,Winter
01-Feb-07,2007,2,1,-8.4,-4.6,-12.2,0,27.2,24.6,Winter
01-Feb-06,2006,2,1,-3.6,0,-7.2,53.8,21.6,74.8,Winter
01-Feb-05,2005,2,1,-4,0.2,-8.2,43,33.4,75.6,Winter
01-Feb-04,2004,2,1,-3.8,0.5,-8,5.4,17.2,20.8,Winter
01-Feb-03,2003,2,1,-7,-2.4,-11.5,22.6,23.6,46.8,Winter
01-Feb-02,2002,2,1,-1.3,2.9,-5.5,29.6,7,38.4,Winter
01-Feb-01,2001,2,1,-3,0.6,-6.5,55.6,36,94,Winter
01-Feb-00,2000,2,1,-3.1,1.1,-7.4,15.4,39.1,48.4,Winter
01-Feb-99,1999,2,1,-1.6,2.4,-5.6,24,3.4,27.4,Winter
01-Feb-98,1998,2,1,-0.3,3.4,-4,43.8,1.4,45.8,Winter
01-Feb-97,1997,2,1,-3.2,1.4,-7.7,62,16.4,78.6,Winter
01-Feb-96,1996,2,1,-5.8,-2.1,-9.5,26,10.6,38.2,Winter
01-Feb-95,1995,2,1,-7.3,-2.7,-11.8,8.8,14.6,20.8,Winter
01-Feb-94,1994,2,1,-8.3,-3.6,-13,0,24.8,20.2,Winter
01-Feb-93,1993,2,1,-8.4,-3.3,-13.4,0,31.8,26.6,Winter
01-Feb-92,1992,2,1,-3.9,0,-7.8,23.6,10,35,Winter
01-Feb-91,1991,2,1,-2.4,1.9,-6.7,2.9,24,23.5,Winter
01-Feb-90,1990,2,1,-3.5,1,-8,47,26,76.9,Winter
01-Feb-89,1989,2,1,-6.5,-2.3,-10.6,0.8,22,19,Winter
01-Feb-88,1988,2,1,-6.8,-1.8,-11.7,12,52,64.6,Winter
01-Feb-87,1987,2,1,-5.8,-0.7,-10.8,3.8,10,14.8,Winter
01-Feb-86,1986,2,1,-6.1,-2.8,-9.4,12.8,20.2,32,Winter
01-Feb-85,1985,2,1,-5.8,-1.7,-9.9,36.5,41,83.1,Winter
01-Feb-84,1984,2,1,-1.5,2.5,-5.5,39.2,24.4,59,Winter
01-Feb-83,1983,2,1,-3.1,0.8,-6.9,34.7,7.7,40.6,Winter
01-Feb-82,1982,2,1,-7.6,-3.2,-11.9,1.8,27.2,28.3,Winter
01-Feb-81,1981,2,1,-2.1,2.1,-6.2,45.4,19.5,66.2,Winter
01-Feb-80,1980,2,1,-7.8,-3.3,-12.3,6,13.8,16.1,Winter
01-Feb-79,1979,2,1,-10.8,-6.5,-15.1,12,27.6,33.5,Winter
01-Feb-78,1978,2,1,-9.9,-5.3,-14.5,0,15.5,9.1,Winter
01-Feb-77,1977,2,1,-6,-2.2,-9.8,20.4,7.2,26.3,Winter
01-Feb-76,1976,2,1,-2.8,1.8,-7.3,52.8,6.6,59.2,Winter
01-Feb-75,1975,2,1,-3.9,-0.5,-7.3,47,31.8,72.4,Winter
01-Feb-74,1974,2,1,-8,-3.2,-12.7,23.9,25.7,45.2,Winter
01-Feb-73,1973,2,1,-7.6,-2.3,-12.9,19.3,19.8,36.3,Winter
01-Feb-72,1972,2,1,-8,-2.8,-13.1,6.1,55.1,59.7,Winter
01-Feb-71,1971,2,1,-5.2,-1.4,-8.9,40.9,31.8,71.1,Winter
01-Feb-70,1970,2,1,-6.6,-1.6,-11.6,5.1,23.9,29.7,Winter
01-Feb-69,1969,2,1,-5.1,-0.9,-9.3,0.8,13.5,15.7,Winter
01-Feb-68,1968,2,1,-7.6,-3,-12.2,31,7.9,37.8,Winter
01-Feb-67,1967,2,1,-8.7,-3.1,-14.2,13,41.4,42.4,Winter
01-Feb-66,1966,2,1,-5.3,-1.2,-9.4,17.3,16,30.5,Winter
01-Feb-65,1965,2,1,-5.9,-1.4,-10.4,38.4,56.4,107.2,Winter
01-Feb-64,1964,2,1,-6.1,-0.4,-11.8,0,32.3,28.7,Winter
01-Feb-63,1963,2,1,-9.4,-4.1,-14.7,1.8,13,13.5,Winter
01-Feb-62,1962,2,1,-8.1,-3,-13.2,13,63,86.1,Winter
01-Feb-61,1961,2,1,-3,1.4,-7.4,41.9,23.4,59.2,Winter
01-Feb-60,1960,2,1,-4.4,-0.9,-7.9,26.7,38.1,64.8,Winter
01-Feb-59,1959,2,1,-7.6,-2.6,-12.6,28.2,46,74.2,Winter
01-Feb-58,1958,2,1,-7.7,-4.1,-11.2,11.2,25.7,36.8,Winter
01-Feb-57,1957,2,1,-4,0.5,-8.4,27.4,30.7,58.2,Winter
01-Feb-56,1956,2,1,-4.5,-0.5,-8.4,18.5,27.9,46.5,Winter
01-Feb-55,1955,2,1,-5.3,-1.2,-9.3,24.1,14.5,38.6,Winter
01-Feb-54,1954,2,1,-1.9,2.4,-6.1,27.2,32.8,59.9,Winter
01-Feb-53,1953,2,1,-2.4,1.6,-6.4,11.4,24.6,36.1,Winter
01-Feb-52,1952,2,1,-3.7,-0.1,-7.3,20.1,20.8,40.9,Winter
01-Feb-51,1951,2,1,-4.4,0.1,-8.8,33.8,10.4,44.2,Winter
01-Feb-50,1950,2,1,-6.6,-2.3,-10.9,5.6,66.5,72.1,Winter
01-Feb-49,1949,2,1,-3.6,0.9,-8.1,49.8,26.2,75.9,Winter
01-Feb-48,1948,2,1,-7.8,-2.7,-12.9,33.5,33.5,67.1,Winter
01-Feb-47,1947,2,1,-7.2,-3,-11.4,0,27.2,27.2,Winter
01-Feb-46,1946,2,1,-6.9,-2.3,-11.4,33.5,24.4,57.9,Winter
01-Feb-45,1945,2,1,-6,-1.3,-10.7,13.2,34.5,47.8,Winter
01-Feb-44,1944,2,1,-6,-1.4,-10.6,5.8,57.4,63.2,Winter
01-Feb-43,1943,2,1,-5.2,-0.5,-9.9,32.3,16.5,48.8,Winter
01-Feb-42,1942,2,1,-7.7,-4.3,-11,13,28.2,41.1,Winter
01-Feb-41,1941,2,1,-6.2,-2.6,-9.8,6.4,24.6,31,Winter
01-Feb-40,1940,2,1,-6.2,-2.2,-10.1,6.9,27.2,34,Winter
01-Feb-39,1939,2,1,-5.8,-0.5,-11.1,30.2,57.9,88.1,Winter
01-Feb-38,1938,2,1,-3.7,0.8,-8.2,63.2,13.2,76.5,Winter
31-Mar-18,"2,018",3,31,4,9,-1,5,0,5,Spring
30-Mar-18,"2,018",3,30,2,5,-2,0,0,0,Spring
29-Mar-18,"2,018",3,29,4,7,1,17,0,17,Spring
28-Mar-18,"2,018",3,28,5,8,2,0,0,0,Spring
27-Mar-18,"2,018",3,27,5,7,3,4,0,4,Spring
26-Mar-18,"2,018",3,26,3,9,-2,0,0,0,Spring
25-Mar-18,"2,018",3,25,-2,3,-8,0,0,0,Spring
24-Mar-18,"2,018",3,24,-1,3,-6,0,0,0,Spring
23-Mar-18,"2,018",3,23,0,4,-4,0,0,0,Spring
22-Mar-18,"2,018",3,22,1,5,-4,0,0,0,Spring
21-Mar-18,"2,018",3,21,0,5,-5,0,0,0,Spring
20-Mar-18,"2,018",3,20,-2,3,-8,0,0,0,Spring
19-Mar-18,"2,018",3,19,-4,0,-8,0,0,0,Spring
18-Mar-18,"2,018",3,18,2,11,-6,0,0,0,Spring
17-Mar-18,"2,018",3,17,0,6,-6,0,0,0,Spring
16-Mar-18,"2,018",3,16,-4,0,-7,0,0,0,Spring
15-Mar-18,"2,018",3,15,0,5,-5,0,1,1,Spring
14-Mar-18,"2,018",3,14,-2,1,-5,0,0,0,Spring
13-Mar-18,"2,018",3,13,-1,1,-4,0,0,0,Spring
12-Mar-18,"2,018",3,12,-2,0,-4,0,6,3,Spring
11-Mar-18,"2,018",3,11,-1,3,-5,0,0,0,Spring
10-Mar-18,"2,018",3,10,-1,2,-4,0,0,0,Spring
09-Mar-18,"2,018",3,9,0,4,-4,0,0,0,Spring
08-Mar-18,"2,018",3,8,-2,-1,-3,0,0,0,Spring
07-Mar-18,"2,018",3,7,1,3,-2,0,0,0,Spring
06-Mar-18,"2,018",3,6,0,1,-2,0,0,0,Spring
05-Mar-18,"2,018",3,5,-1,5,-6,0,0,0,Spring
04-Mar-18,"2,018",3,4,-1,2,-4,0,0,0,Spring
03-Mar-18,"2,018",3,3,0,4,-4,0,0,0,Spring
02-Mar-18,"2,018",3,2,1,4,-2,0,0,0,Spring
01-Mar-18,"2,018",3,1,2,4,-1,0,1,1,Spring
31-Mar-17,"2,017",3,31,3,4,1,10,0,10,Spring
30-Mar-17,"2,017",3,30,2,4,0,6,2,12,Spring
29-Mar-17,"2,017",3,29,6,11,0,0,0,0,Spring
28-Mar-17,"2,017",3,28,6,10,2,0,0,0,Spring
27-Mar-17,"2,017",3,27,11,16,6,2,0,2,Spring
26-Mar-17,"2,017",3,26,3,6,1,3,0,3,Spring
25-Mar-17,"2,017",3,25,3,4,1,8,0,8,Spring
24-Mar-17,"2,017",3,24,8,15,1,8,0,8,Spring
23-Mar-17,"2,017",3,23,-3,3,-9,0,0,0,Spring
22-Mar-17,"2,017",3,22,-5,-2,-9,0,0,0,Spring
21-Mar-17,"2,017",3,21,4,12,-4,0,0,0,Spring
20-Mar-17,"2,017",3,20,3,7,-1,0,0,0,Spring
19-Mar-17,"2,017",3,19,3,7,-1,0,0,0,Spring
18-Mar-17,"2,017",3,18,1,3,0,0,0,1,Spring
17-Mar-17,"2,017",3,17,-1,6,-7,0,0,0,Spring
16-Mar-17,"2,017",3,16,-3,2,-7,0,0,0,Spring
15-Mar-17,"2,017",3,15,-6,-3,-10,0,1,1,Spring
14-Mar-17,"2,017",3,14,-10,-8,-12,0,1,1,Spring
13-Mar-17,"2,017",3,13,-9,-6,-11,0,2,2,Spring
12-Mar-17,"2,017",3,12,-9,-4,-13,0,0,0,Spring
11-Mar-17,"2,017",3,11,-10,-6,-13,0,0,0,Spring
10-Mar-17,"2,017",3,10,-6,-1,-10,0,0,0,Spring
09-Mar-17,"2,017",3,9,0,3,-2,0,0,0,Spring
08-Mar-17,"2,017",3,8,5,10,1,0,0,0,Spring
07-Mar-17,"2,017",3,7,9,13,5,,,,Spring
06-Mar-17,"2,017",3,6,2,6,-2,0,0,0,Spring
05-Mar-17,"2,017",3,5,-7,-2,-12,0,0,0,Spring
04-Mar-17,"2,017",3,4,-10,-7,-12,0,0,0,Spring
03-Mar-17,"2,017",3,3,-8,-5,-10,0,0,0,Spring
02-Mar-17,"2,017",3,2,-5,-2,-7,0,0,0,Spring
01-Mar-17,"2,017",3,1,5,14,-4,20,0,20,Spring
31-Mar-16,"2,016",3,31,12,17,8,20,0,20,Spring
30-Mar-16,"2,016",3,30,4,10,-2,0,0,0,Spring
29-Mar-16,"2,016",3,29,3,8,-1,0,0,0,Spring
28-Mar-16,"2,016",3,28,6,9,2,8,0,8,Spring
27-Mar-16,"2,016",3,27,5,12,-2,0,0,0,Spring
26-Mar-16,"2,016",3,26,1,6,-4,0,0,0,Spring
25-Mar-16,"2,016",3,25,0,1,-2,0,0,0,Spring
24-Mar-16,"2,016",3,24,-1,0,-2,9,1,15,Spring
23-Mar-16,"2,016",3,23,2,4,-1,0,0,1,Spring
22-Mar-16,"2,016",3,22,1,6,-4,2,0,2,Spring
21-Mar-16,"2,016",3,21,0,4,-4,0,0,0,Spring
20-Mar-16,"2,016",3,20,-2,3,-6,0,0,0,Spring
19-Mar-16,"2,016",3,19,-2,2,-6,0,0,0,Spring
18-Mar-16,"2,016",3,18,1,6,-3,0,0,0,Spring
17-Mar-16,"2,016",3,17,7,11,3,1,0,1,Spring
16-Mar-16,"2,016",3,16,9,14,5,2,0,2,Spring
15-Mar-16,"2,016",3,15,8,10,5,6,0,6,Spring
14-Mar-16,"2,016",3,14,6,9,3,11,0,11,Spring
13-Mar-16,"2,016",3,13,6,9,4,0,0,0,Spring
12-Mar-16,"2,016",3,12,8,17,-1,0,0,0,Spring
11-Mar-16,"2,016",3,11,5,9,2,0,0,0,Spring
10-Mar-16,"2,016",3,10,8,13,3,4,0,4,Spring
09-Mar-16,"2,016",3,9,13,20,5,0,0,0,Spring
08-Mar-16,"2,016",3,8,7,12,3,0,0,0,Spring
07-Mar-16,"2,016",3,7,6,12,1,0,0,0,Spring
06-Mar-16,"2,016",3,6,-3,3,-9,0,0,0,Spring
05-Mar-16,"2,016",3,5,-3,0,-6,0,0,0,Spring
04-Mar-16,"2,016",3,4,-3,0,-6,0,0,0,Spring
03-Mar-16,"2,016",3,3,-7,-4,-10,0,1,1,Spring
02-Mar-16,"2,016",3,2,-8,-5,-11,0,0,0,Spring
01-Mar-16,"2,016",3,1,-9,-7,-11,0,9,10,Spring
31-Mar-15,"2,015",3,31,2,7,-4,0,0,0,Spring
30-Mar-15,"2,015",3,30,3,8,-3,,0,,Spring
29-Mar-15,"2,015",3,29,-2,6,-9,0,0,0,Spring
28-Mar-15,"2,015",3,28,-6,-1,-11,0,0,0,Spring
27-Mar-15,"2,015",3,27,-4,1,-8,0,0,0,Spring
26-Mar-15,"2,015",3,26,3,6,-1,1,0,1,Spring
25-Mar-15,"2,015",3,25,1,7,-5,3,0,3,Spring
24-Mar-15,"2,015",3,24,-4,2,-10,0,0,0,Spring
23-Mar-15,"2,015",3,23,-7,-3,-11,0,0,0,Spring
22-Mar-15,"2,015",3,22,-6,-2,-10,0,0,0,Spring
21-Mar-15,"2,015",3,21,0,7,-6,2,0,2,Spring
20-Mar-15,"2,015",3,20,3,8,-2,0,0,0,Spring
19-Mar-15,"2,015",3,19,-3,2,-8,0,0,0,Spring
18-Mar-15,"2,015",3,18,-2,3,-6,0,0,0,Spring
17-Mar-15,"2,015",3,17,1,6,-5,0,0,0,Spring
16-Mar-15,"2,015",3,16,6,12,0,2,0,2,Spring
15-Mar-15,"2,015",3,15,3,7,-1,0,0,0,Spring
14-Mar-15,"2,015",3,14,4,6,1,0,0,0,Spring
13-Mar-15,"2,015",3,13,2,6,-2,0,0,0,Spring
12-Mar-15,"2,015",3,12,1,4,-3,0,0,0,Spring
11-Mar-15,"2,015",3,11,4,8,0,0,0,0,Spring
10-Mar-15,"2,015",3,10,2,5,-2,0,0,0,Spring
09-Mar-15,"2,015",3,9,1,6,-4,0,0,0,Spring
08-Mar-15,"2,015",3,8,-2,2,-5,0,0,0,Spring
07-Mar-15,"2,015",3,7,-4,-1,-7,0,0,0,Spring
06-Mar-15,"2,015",3,6,-12,-5,-19,0,0,0,Spring
05-Mar-15,"2,015",3,5,-13,-10,-17,0,0,0,Spring
04-Mar-15,"2,015",3,4,-5,0,-11,0,0,0,Spring
03-Mar-15,"2,015",3,3,-6,1,-13,1,5,6,Spring
02-Mar-15,"2,015",3,2,-7,-3,-12,0,0,0,Spring
01-Mar-15,"2,015",3,1,-8,-4,-12,0,0,0,Spring
31-Mar-14,"2,014",3,31,5,11,-1,0,0,0,Spring
30-Mar-14,"2,014",3,30,3,7,-2,0,0,0,Spring
29-Mar-14,"2,014",3,29,2,2,1,0,0,0,Spring
28-Mar-14,"2,014",3,28,6,10,2,4,0,4,Spring
27-Mar-14,"2,014",3,27,-3,3,-10,1,1,2,Spring
26-Mar-14,"2,014",3,26,-8,-4,-12,0,0,0,Spring
25-Mar-14,"2,014",3,25,-5,1,-10,0,0,0,Spring
24-Mar-14,"2,014",3,24,-8,-3,-12,0,0,0,Spring
23-Mar-14,"2,014",3,23,-8,-5,-11,0,0,0,Spring
22-Mar-14,"2,014",3,22,-2,4,-8,0,1,1,Spring
21-Mar-14,"2,014",3,21,0,4,-5,0,0,0,Spring
20-Mar-14,"2,014",3,20,0,3,-3,0,0,0,Spring
19-Mar-14,"2,014",3,19,3,6,-1,3,0,3,Spring
18-Mar-14,"2,014",3,18,-3,2,-9,0,0,0,Spring
17-Mar-14,"2,014",3,17,-10,-4,-16,0,0,0,Spring
16-Mar-14,"2,014",3,16,-12,-8,-15,0,0,0,Spring
15-Mar-14,"2,014",3,15,-2,5,-9,0,0,0,Spring
14-Mar-14,"2,014",3,14,1,10,-7,0,0,0,Spring
13-Mar-14,"2,014",3,13,-12,-7,-17,0,0,0,Spring
12-Mar-14,"2,014",3,12,-6,2,-15,0,9,8,Spring
11-Mar-14,"2,014",3,11,6,10,2,0,0,0,Spring
10-Mar-14,"2,014",3,10,3,7,0,0,0,0,Spring
09-Mar-14,"2,014",3,9,-5,0,-11,0,0,0,Spring
08-Mar-14,"2,014",3,8,-3,2,-8,0,0,0,Spring
07-Mar-14,"2,014",3,7,-6,2,-14,0,0,0,Spring
06-Mar-14,"2,014",3,6,-8,-5,-11,0,11,2,Spring
05-Mar-14,"2,014",3,5,-10,-6,-15,0,0,0,Spring
04-Mar-14,"2,014",3,4,-13,-9,-18,0,2,1,Spring
03-Mar-14,"2,014",3,3,-16,-12,-20,0,0,0,Spring
02-Mar-14,"2,014",3,2,-14,-10,-18,0,2,2,Spring
01-Mar-14,"2,014",3,1,-7,-3,-11,0,4,4,Spring
01-Mar-13,2013,3,1,0.1,3.9,-3.7,13.8,8.2,21.6,Spring
01-Mar-12,2012,3,1,6.7,12.4,1,15.6,2.4,18,Spring
01-Mar-11,2011,3,1,-0.5,3.7,-4.7,62.8,29.4,91.4,Spring
01-Mar-10,2010,3,1,4.4,9.2,-0.5,62.6,0,62.6,Spring
01-Mar-09,2009,3,1,0.8,5.8,-4.2,68,0.6,68.8,Spring
01-Mar-08,2008,3,1,-1.7,2,-5.4,23.2,38,61.6,Spring
01-Mar-07,2007,3,1,0.4,4.9,-4.1,18.8,13.3,33.4,Spring
01-Mar-06,2006,3,1,1.3,5.9,-3.2,47.8,1.4,48.8,Spring
01-Mar-05,2005,3,1,-1.6,2.6,-5.9,9.6,25.6,32.8,Spring
01-Mar-04,2004,3,1,2.3,6.1,-1.6,51.8,14.2,63.4,Spring
01-Mar-03,2003,3,1,-0.7,4.6,-6.1,27.8,23.8,50,Spring
01-Mar-02,2002,3,1,0.4,4.8,-4,44.1,17.6,61.3,Spring
01-Mar-01,2001,3,1,-0.3,3.2,-3.8,8.8,26.4,31.4,Spring
01-Mar-00,2000,3,1,4.5,9.4,-0.4,10.2,7.8,18.8,Spring
01-Mar-99,1999,3,1,0.2,4.7,-4.3,0.6,21.4,23.4,Spring
01-Mar-98,1998,3,1,2.1,6.4,-2.1,72.4,28,98.4,Spring
01-Mar-97,1997,3,1,-1.4,2.7,-5.4,29.8,41.6,69.8,Spring
01-Mar-96,1996,3,1,-2.8,1.9,-7.5,2.2,34.4,36.2,Spring
01-Mar-95,1995,3,1,1.9,7.2,-3.4,43.2,8,50.8,Spring
01-Mar-94,1994,3,1,-0.8,3.4,-4.9,23.8,29,51.2,Spring
01-Mar-93,1993,3,1,-2,2.6,-6.7,6.6,28,31,Spring
01-Mar-92,1992,3,1,-1.1,3.5,-5.8,16.5,6.6,21.7,Spring
01-Mar-91,1991,3,1,1.6,6.1,-2.8,88,9.4,98.1,Spring
01-Mar-90,1990,3,1,0.7,5.1,-3.8,24.7,4.4,28.7,Spring
01-Mar-89,1989,3,1,-2.1,2.6,-6.7,14.6,16.8,37.1,Spring
01-Mar-88,1988,3,1,-0.8,3.8,-5.3,21.2,2.4,23.6,Spring
01-Mar-87,1987,3,1,1.8,7.6,-4,31.8,14.4,44.2,Spring
01-Mar-86,1986,3,1,0.6,5.5,-4.4,34.6,14.4,48.8,Spring
01-Mar-85,1985,3,1,0.3,5.3,-4.7,45.6,28.6,78.6,Spring
01-Mar-84,1984,3,1,-4.6,-0.1,-9.1,35.4,24.5,59.5,Spring
01-Mar-83,1983,3,1,0.6,4.5,-3.4,59.3,17.4,77.3,Spring
01-Mar-82,1982,3,1,-2,2.3,-6.3,41.7,24.6,64.8,Spring
01-Mar-81,1981,3,1,0,4.9,-4.9,12.4,7.3,17.8,Spring
01-Mar-80,1980,3,1,-2,2.2,-6.1,54.1,29.4,82.8,Spring
01-Mar-79,1979,3,1,1.6,6.5,-3.3,45.6,3,48.1,Spring
01-Mar-78,1978,3,1,-3.9,0.4,-8.1,31.5,9.3,39.8,Spring
01-Mar-77,1977,3,1,2.2,7,-2.7,57,17.2,71.9,Spring
01-Mar-76,1976,3,1,0.2,5,-4.7,64.8,27.7,116.3,Spring
01-Mar-75,1975,3,1,-2.5,1.7,-6.6,44.5,18.8,63.8,Spring
01-Mar-74,1974,3,1,-1,3.3,-5.2,41.1,17.3,56.9,Spring
01-Mar-73,1973,3,1,3.2,7.5,-1.1,112.3,8.9,121.2,Spring
01-Mar-72,1972,3,1,-4.3,-0.1,-8.4,31.2,42.4,96.8,Spring
01-Mar-71,1971,3,1,-3.5,0.6,-7.5,4.8,32.3,33.5,Spring
01-Mar-70,1970,3,1,-2.3,1.9,-6.4,25.1,14.5,43.7,Spring
01-Mar-69,1969,3,1,-1.8,2.6,-6.1,26.7,6.6,35.6,Spring
01-Mar-68,1968,3,1,0.3,5.3,-4.7,33.3,38.4,57.4,Spring
01-Mar-67,1967,3,1,-2.5,2.1,-7.1,3.3,23.1,21.1,Spring
01-Mar-66,1966,3,1,0.7,4.7,-3.4,44.7,11.7,55.6,Spring
01-Mar-65,1965,3,1,-3.5,0.4,-7.3,2.5,41.4,45,Spring
01-Mar-64,1964,3,1,-0.8,3.6,-5.1,46,42.9,87.1,Spring
01-Mar-63,1963,3,1,0.8,5.8,-4.3,34.5,20.1,59.7,Spring
01-Mar-62,1962,3,1,-0.4,4.5,-5.2,7.9,4.1,11.9,Spring
01-Mar-61,1961,3,1,0.1,3.8,-3.6,19.8,32.8,77,Spring
01-Mar-60,1960,3,1,-6,-1.2,-10.8,7.1,31.8,38.9,Spring
01-Mar-59,1959,3,1,-2,2.3,-6.2,30.7,29.2,59.9,Spring
01-Mar-58,1958,3,1,1.4,4.8,-2.1,2.3,22.6,24.9,Spring
01-Mar-57,1957,3,1,0.8,4.7,-3.1,20.1,7.9,27.9,Spring
01-Mar-56,1956,3,1,-2.5,1.4,-6.4,32.8,43.9,76.7,Spring
01-Mar-55,1955,3,1,-1.1,2.9,-5.1,27.9,42.7,70.6,Spring
01-Mar-54,1954,3,1,-1.2,2.6,-4.9,56.6,20.3,77,Spring
01-Mar-53,1953,3,1,1.2,5.2,-2.9,66.8,0.3,67.1,Spring
01-Mar-52,1952,3,1,-1.1,2.5,-4.7,58.9,7.6,66.5,Spring
01-Mar-51,1951,3,1,0.3,3.6,-3.1,78,19.6,97.5,Spring
01-Mar-50,1950,3,1,-4.2,0.3,-8.7,21.6,41.7,63.2,Spring
01-Mar-49,1949,3,1,-1.7,2.9,-6.2,25.4,37.6,63,Spring
01-Mar-48,1948,3,1,-2.1,3.6,-7.7,44.5,13.5,57.9,Spring
01-Mar-47,1947,3,1,-2.2,1.9,-6.3,24.4,22.4,46.7,Spring
01-Mar-46,1946,3,1,5.2,10.8,-0.5,28.4,0,28.4,Spring
01-Mar-45,1945,3,1,5.1,10.4,-0.3,110.7,3.3,114,Spring
01-Mar-44,1944,3,1,-3.6,0.3,-7.4,53.3,28.2,81.5,Spring
01-Mar-43,1943,3,1,-3.1,1.8,-8,67.1,18.3,85.3,Spring
01-Mar-42,1942,3,1,1.4,4.3,-1.5,94,23.1,117.1,Spring
01-Mar-41,1941,3,1,-3.8,0.6,-8.1,23.6,13.2,36.8,Spring
01-Mar-40,1940,3,1,-5.2,-1.3,-9.1,13.2,35.1,48.3,Spring
01-Mar-39,1939,3,1,-3.6,0.7,-7.8,26.2,54.4,80.5,Spring
01-Mar-38,1938,3,1,1.4,7.4,-4.6,35.3,6.4,41.7,Spring
30-Apr-18,"2,018",4,30,11,20,1,0,0,0,Spring
29-Apr-18,"2,018",4,29,6,12,0,0,0,0,Spring
28-Apr-18,"2,018",4,28,5,8,1,2,0,2,Spring
27-Apr-18,"2,018",4,27,9,15,2,3,0,3,Spring
26-Apr-18,"2,018",4,26,10,16,3,1,0,1,Spring
25-Apr-18,"2,018",4,25,8,11,4,19,0,19,Spring
24-Apr-18,"2,018",4,24,12,17,7,4,0,4,Spring
23-Apr-18,"2,018",4,23,10,19,2,0,0,0,Spring
22-Apr-18,"2,018",4,22,9,17,0,0,0,0,Spring
21-Apr-18,"2,018",4,21,6,14,-2,0,0,0,Spring
20-Apr-18,"2,018",4,20,3,8,-2,0,0,0,Spring
19-Apr-18,"2,018",4,19,1,3,-1,0,0,0,Spring
18-Apr-18,"2,018",4,18,2,4,0,0,0,0,Spring
17-Apr-18,"2,018",4,17,-1,1,-2,0,0,0,Spring
16-Apr-18,"2,018",4,16,2,3,1,19,0,19,Spring
15-Apr-18,"2,018",4,15,-2,1,-4,15,4,28,Spring
14-Apr-18,"2,018",4,14,0,4,-4,6,4,36,Spring
13-Apr-18,"2,018",4,13,4,6,2,7,0,7,Spring
12-Apr-18,"2,018",4,12,7,16,-2,3,0,3,Spring
11-Apr-18,"2,018",4,11,3,6,0,1,0,1,Spring
10-Apr-18,"2,018",4,10,2,7,-3,0,0,0,Spring
09-Apr-18,"2,018",4,9,-1,3,-6,0,0,0,Spring
08-Apr-18,"2,018",4,8,-2,2,-6,0,0,0,Spring
07-Apr-18,"2,018",4,7,-3,1,-6,0,0,0,Spring
06-Apr-18,"2,018",4,6,1,5,-4,0,1,2,Spring
05-Apr-18,"2,018",4,5,-2,2,-5,0,0,0,Spring
04-Apr-18,"2,018",4,4,0,5,-5,5,0,5,Spring
03-Apr-18,"2,018",4,3,3,5,2,21,0,21,Spring
02-Apr-18,"2,018",4,2,2,7,-4,0,0,0,Spring
01-Apr-18,"2,018",4,1,0,4,-4,0,0,0,Spring
30-Apr-17,"2,017",4,30,6,8,4,14,0,14,Spring
29-Apr-17,"2,017",4,29,10,15,6,0,0,0,Spring
28-Apr-17,"2,017",4,28,14,19,8,0,0,0,Spring
27-Apr-17,"2,017",4,27,17,26,9,5,0,5,Spring
26-Apr-17,"2,017",4,26,12,17,8,0,0,0,Spring
25-Apr-17,"2,017",4,25,8,11,6,4,0,4,Spring
24-Apr-17,"2,017",4,24,9,13,6,0,0,0,Spring
23-Apr-17,"2,017",4,23,11,20,2,0,0,0,Spring
22-Apr-17,"2,017",4,22,9,13,4,0,0,0,Spring
21-Apr-17,"2,017",4,21,9,12,6,0,0,0,Spring
20-Apr-17,"2,017",4,20,7,8,5,25,0,25,Spring
19-Apr-17,"2,017",4,19,14,22,6,1,0,1,Spring
18-Apr-17,"2,017",4,18,5,10,0,0,0,0,Spring
17-Apr-17,"2,017",4,17,7,12,1,0,0,0,Spring
16-Apr-17,"2,017",4,16,16,22,10,3,0,3,Spring
15-Apr-17,"2,017",4,15,12,20,4,6,0,6,Spring
14-Apr-17,"2,017",4,14,9,15,3,0,0,0,Spring
13-Apr-17,"2,017",4,13,8,14,1,0,0,0,Spring
12-Apr-17,"2,017",4,12,5,8,1,0,0,0,Spring
11-Apr-17,"2,017",4,11,14,20,8,2,0,2,Spring
10-Apr-17,"2,017",4,10,17,23,10,4,0,4,Spring
09-Apr-17,"2,017",4,9,12,20,4,0,0,0,Spring
08-Apr-17,"2,017",4,8,7,13,0,0,0,0,Spring
07-Apr-17,"2,017",4,7,2,5,-1,0,2,2,Spring
06-Apr-17,"2,017",4,6,4,7,1,28,0,28,Spring
05-Apr-17,"2,017",4,5,7,10,5,0,0,0,Spring
04-Apr-17,"2,017",4,4,8,12,5,12,0,12,Spring
03-Apr-17,"2,017",4,3,9,12,6,6,0,6,Spring
02-Apr-17,"2,017",4,2,9,16,2,0,0,0,Spring
